%
%
% Run:HC    Table:BMRG              SWAN version:40.91
%
%       Time               Hsig          Hswell        PkDir         Dir           TPsmoo        Period      X-Windv       Y-Windv         Propag   
%       [ ]                [m]           [m]           [degr]        [degr]        [sec]         [sec]         [m/s]         [m/s]         [m2/s]   
%
19980101.000000          0.04982       0.00000       115.000       118.916       -9.0000        0.7360       -0.9674        1.7509     0.0000000 
19980102.000000          0.50010       0.25968       155.000       165.423       13.5142        6.3442       -0.9178       -0.0369     0.0000014 
19980103.000000          0.98813       0.63096       135.000       128.245       10.0101        8.0050       -0.9647       -1.4909     0.0000057 
19980104.000000          2.02189       1.67061        45.000        80.428       20.0000       11.0687        0.0329       -1.3993     0.0000572 
19980105.000000          2.51792       2.11008        45.000        75.014       20.0000       11.3470       -0.5102        0.8256     0.0001031 
19980106.000000          2.95204       2.58059        55.000        62.313       20.0000       11.9968       -0.7375       -0.1073     0.0001559 
19980107.000000          3.38452       3.06587        55.000        58.905       20.0000       12.7823        0.3287       -0.2822     0.0002218 
19980108.000000          3.28039       2.90976        55.000        60.955       20.0000       12.0911       -0.5873       -1.8478     0.0001953 
19980109.000000          2.84137       2.35516        55.000        62.291       20.0000       10.5129        1.6753       -0.7571     0.0001192 
19980110.000000          2.26016       1.63900        45.000        65.474       20.0000        8.6045        1.1616       -0.2438     0.0000541 
19980111.000000          2.21179       1.62571        45.000        68.021       20.0000        8.5649        0.8149        0.0216     0.0000621 
19980112.000000          2.60966       2.07634        45.000        70.362       20.0000        9.6915        0.4082       -0.5580     0.0001010 
19980113.000000          2.87040       2.27307        45.000        64.801       20.0000       10.0199        1.3629       -0.9000     0.0001128 
19980114.000000          2.80782       2.11311        45.000        66.370       20.0000        9.4579        1.6333        0.5311     0.0000924 
19980115.000000          2.46128       1.70226        45.000        65.933       20.0000        8.3602        0.2620        0.9513     0.0000577 
19980116.000000          2.18194       1.33754        45.000        64.189        9.6895        7.4834        0.5687       -0.7696     0.0000354 
19980117.000000          2.47226       1.84752        45.000        60.502       20.0000        8.9065        1.4298       -0.5309     0.0000718 
19980118.000000          3.17795       2.59302        55.000        65.565       20.0000       10.1845       -0.2344        1.3844     0.0001436 
19980119.000000          3.03743       2.40892        45.000        63.402       20.0000        9.8412       -0.2753        0.5000     0.0001230 
19980120.000000          2.63601       1.89272        45.000        74.954       20.0000        8.5120        0.9813       -1.2296     0.0000663 
